iter	Logloss
0	0.687686363
1	0.6824036502
2	0.6773187873
3	0.6720133578
4	0.666899006
5	0.6619220262
6	0.6571856724
7	0.6523122895
8	0.6476867333
9	0.6433655814
10	0.6390787189
11	0.6347462515
12	0.6307471629
13	0.6266254468
14	0.6223218253
15	0.6183416817
16	0.6140215156
17	0.6100541876
18	0.6060402688
19	0.602073498
20	0.5982957047
21	0.5945049672
22	0.591136118
23	0.5871717046
24	0.5838877217
25	0.580742911
26	0.5774477412
27	0.5740367589
28	0.5709773717
29	0.5678438337
30	0.5646574899
31	0.561365449
32	0.5583699259
33	0.5551822105
34	0.5525082792
35	0.5498837246
36	0.5473042177
37	0.5445332045
38	0.5421434895
39	0.5395916714
40	0.5373180689
41	0.5349839457
42	0.5325152794
43	0.5302634507
44	0.5282701642
45	0.526265648
46	0.5242115835
47	0.521920322
48	0.5200598213
49	0.5183764683
50	0.5162611972
51	0.5142975711
52	0.5124065099
53	0.5104743015
54	0.5088325672
55	0.5071233256
56	0.5049882096
57	0.5027892724
58	0.5011438948
59	0.4990366389
60	0.497209699
61	0.4957037079
62	0.4943353889
63	0.4928239115
64	0.4918812098
65	0.4906653501
66	0.4890351885
67	0.4875513141
68	0.4860187488
69	0.4852492943
70	0.4836876258
71	0.4823644402
72	0.4813743334
73	0.4801181836
74	0.4790381957
75	0.4773040943
76	0.4759128013
77	0.474441014
78	0.4732925329
79	0.4726484492
80	0.4715492591
81	0.4703928915
82	0.4692282516
83	0.4682537893
84	0.4676605825
85	0.4664804694
86	0.4654488724
87	0.4645481753
88	0.4634995193
89	0.4621040259
90	0.4609851194
91	0.4600717352
92	0.4588049556
93	0.4576620895
94	0.4567082437
95	0.4559030426
96	0.4553154506
97	0.454412396
98	0.4534883821
99	0.4528386405
100	0.4520396543
101	0.4513921845
102	0.4505459218
103	0.449587104
104	0.4487663012
105	0.4480235925
106	0.4472828983
107	0.4467443831
108	0.4461218159
109	0.4452448641
110	0.4449365166
111	0.4443151924
112	0.4437131989
113	0.4433185706
114	0.4428054295
115	0.4423198057
116	0.4416456758
117	0.4410314667
118	0.4400504894
119	0.43960537
120	0.4387451343
121	0.4380521453
122	0.437708994
123	0.4369619134
124	0.4363954523
125	0.4358586086
126	0.435558362
127	0.435297891
128	0.434636834
129	0.4340506564
130	0.4334745086
131	0.4332671433
132	0.4329057329
